id,age,gender,math,science,english,sports,music,Total Marks,Percentage,GradeClass,StudyHours
492,21,female,108,62,65,Yes,Yes,235,78.33333333,C,6
493,20,male,62,65,74,No,No,201,67,D,7
494,17,male,73,92,61,Yes,No,226,75.33333333,C,11
495,21,female,93,,75,No,No,168,56,E,5
496,17,male,100,83,93,Yes,Yes,276,92,A,14
497,19,female,101,68,79,No,No,248,82.66666667,B,12
498,17,male,88,68,,Yes,Yes,156,52,E,14
499,17,female,85,83,66,,No,234,78,C,14
500,17,female,79,77,63,Yes,No,219,73,C,14
501,20,female,82,80,83,No,No,245,81.66666667,B,6
502,17,female,62,86,60,Yes,No,208,69.33333333,D,7
503,21,male,58,67,69,Yes,No,194,64.66666667,D,13
504,19,male,70,63,69,Yes,No,202,67.33333333,D,11
505,19,female,67,57,61,Yes,Yes,185,61.66666667,D,8
506,17,female,63,60,50,No,Yes,173,57.66666667,E,14
507,20,female,,113,,Yes,Yes,113,37.66666667,F,9
508,20,male,84,89,67,Yes,No,240,80,B,6
509,21,male,71,53,75,Yes,Yes,199,66.33333333,D,15
510,17,male,92,53,61,No,No,206,68.66666667,D,12
511,19,male,53,79,84,Yes,Yes,216,72,C,8
512,20,female,67,80,57,Yes,Yes,204,68,D,13
513,17,female,59,80,90,,No,229,76.33333333,C,9
514,20,female,42,68,45,Yes,No,155,51.66666667,E,13
515,20,male,69,70,74,No,Yes,213,71,C,8
516,19,male,68,77,74,Yes,Yes,219,73,C,14
517,18,male,93,73,58,Yes,Yes,224,74.66666667,C,9
518,21,female,79,41,74,No,Yes,194,64.66666667,D,13
519,21,female,55,69,85,No,No,209,69.66666667,D,12
520,19,male,98,60,39,No,Yes,197,65.66666667,D,7
521,20,female,88,74,75,Yes,No,237,79,C,5
522,17,male,79,114,36,No,No,229,76.33333333,C,7
523,20,male,67,77,55,Yes,Yes,199,66.33333333,D,8
524,19,female,56,68,89,,No,213,71,C,6
525,21,male,,85,60,Yes,Yes,145,48.33333333,F,5
526,20,female,86,79,53,No,No,218,72.66666667,C,11
527,21,male,98,78,65,Yes,No,241,80.33333333,B,12
528,17,female,93,80,95,No,Yes,268,89.33333333,B,11
529,21,female,63,101,44,Yes,No,208,69.33333333,D,9
530,21,female,53,56,54,Yes,No,163,54.33333333,E,5
531,18,male,72,79,87,Yes,Yes,238,79.33333333,C,11
532,18,male,43,59,92,Yes,No,194,64.66666667,D,11
533,18,female,75,80,67,Yes,No,222,74,C,13
534,21,female,68,59,52,Yes,Yes,179,59.66666667,E,7
535,19,male,63,66,95,Yes,Yes,224,74.66666667,C,13
536,21,male,46,68,89,Yes,No,203,67.66666667,D,5
537,19,male,78,86,77,No,No,241,80.33333333,B,5
538,19,female,62,85,57,Yes,No,204,68,D,8
539,18,male,52,55,67,Yes,Yes,174,58,E,13
540,20,male,27,73,66,No,No,166,55.33333333,E,10
541,17,female,70,62,72,Yes,No,204,68,D,15
542,18,male,97,54,87,No,No,238,79.33333333,C,7
543,18,male,95,69,79,Yes,No,243,81,B,5
544,20,male,63,68,54,No,No,185,61.66666667,D,8
545,17,female,61,106,86,No,No,253,84.33333333,B,13
546,21,female,,78,72,Yes,Yes,150,50,E,7
547,21,female,55,53,77,No,Yes,185,61.66666667,D,13
548,18,female,75,64,87,Yes,No,226,75.33333333,C,11
549,17,female,81,86,54,Yes,No,221,73.66666667,C,8
550,18,female,88,101,68,Yes,Yes,257,85.66666667,B,7
551,19,female,68,50,61,Yes,Yes,179,59.66666667,E,14
552,18,male,67,46,48,No,Yes,161,53.66666667,E,9
553,18,male,57,98,73,Yes,No,228,76,C,9
554,21,female,58,77,101,No,No,236,78.66666667,C,7
555,21,male,67,60,,No,No,127,42.33333333,F,13
556,21,male,76,79,68,Yes,No,223,74.33333333,C,8
557,19,female,84,,76,Yes,Yes,160,53.33333333,E,15
558,21,male,58,72,70,Yes,Yes,200,66.66666667,D,9
559,17,male,92,77,67,Yes,Yes,236,78.66666667,C,8
560,20,male,66,85,51,No,Yes,202,67.33333333,D,9
561,17,male,70,58,,Yes,No,128,42.66666667,F,11
562,17,male,59,73,58,No,No,190,63.33333333,D,13
563,21,female,34,59,40,Yes,Yes,133,44.33333333,F,11
564,20,female,83,76,84,Yes,Yes,243,81,B,9
565,20,female,81,59,80,Yes,Yes,220,73.33333333,C,14
566,20,male,66,66,69,Yes,Yes,201,67,D,14
567,19,female,71,58,71,No,Yes,200,66.66666667,D,11
568,21,male,78,81,82,No,No,241,80.33333333,B,14
569,20,male,47,84,71,Yes,No,202,67.33333333,D,9
570,19,male,62,69,80,No,Yes,211,70.33333333,C,7
571,18,male,82,73,64,No,Yes,219,73,C,11
572,18,female,51,52,85,Yes,Yes,188,62.66666667,D,15
573,19,female,74,68,72,Yes,No,214,71.33333333,C,15
574,19,male,50,71,71,No,No,192,64,D,6
575,21,female,77,109,51,No,No,237,79,C,13
576,21,male,69,56,72,No,Yes,197,65.66666667,D,14
577,18,female,46,92,57,No,No,195,65,D,14
578,20,female,,86,60,Yes,Yes,146,48.66666667,F,5
579,18,male,59,76,57,Yes,No,192,64,D,10
580,20,female,58,97,54,No,No,209,69.66666667,D,11
581,20,male,73,77,96,Yes,No,246,82,B,12
582,21,female,87,77,85,No,Yes,249,83,B,14
583,17,male,55,71,93,No,Yes,219,73,C,13
584,17,male,71,89,52,Yes,No,212,70.66666667,C,6
585,19,female,76,87,69,No,Yes,232,77.33333333,C,15
586,21,female,80,63,51,No,Yes,194,64.66666667,D,14
587,20,male,,54,59,Yes,Yes,113,37.66666667,F,6
588,17,female,64,,56,Yes,Yes,120,40,F,9
589,20,female,58,61,84,No,Yes,203,67.66666667,D,9
590,17,male,71,71,63,No,Yes,205,68.33333333,D,10
591,17,male,54,89,82,Yes,Yes,225,75,C,7
592,17,female,26,66,76,No,No,168,56,E,12
593,21,male,,71,98,No,Yes,169,56.33333333,E,5
594,18,male,84,73,49,Yes,Yes,206,68.66666667,D,10
595,20,male,35,84,84,Yes,No,203,67.66666667,D,8
596,21,female,55,41,83,Yes,No,179,59.66666667,E,5
597,21,female,79,64,55,Yes,No,198,66,D,11
598,21,male,101,,81,Yes,No,182,60.66666667,D,13
599,21,female,70,89,72,Yes,Yes,231,77,C,8
600,21,male,59,65,65,No,No,189,63,D,8
601,19,female,67,46,57,No,No,170,56.66666667,E,10
602,20,male,91,81,59,Yes,Yes,231,77,C,7
603,21,male,60,63,95,Yes,Yes,218,72.66666667,C,10
604,20,female,58,55,68,No,Yes,181,60.33333333,D,11
605,19,male,63,63,78,No,No,204,68,D,15
606,19,female,56,69,58,No,Yes,183,61,D,14
607,20,female,72,64,58,Yes,No,194,64.66666667,D,14
608,17,male,94,41,82,Yes,Yes,217,72.33333333,C,7
609,18,male,75,85,,No,Yes,160,53.33333333,E,11
610,17,female,66,90,63,Yes,No,219,73,C,7
611,17,male,66,81,68,Yes,Yes,215,71.66666667,C,6
612,17,male,47,56,69,Yes,Yes,172,57.33333333,E,14
613,21,male,83,69,66,No,Yes,218,72.66666667,C,8
614,19,male,69,,73,No,Yes,142,47.33333333,F,12
615,17,male,67,80,77,,Yes,224,74.66666667,C,13
616,19,female,118,81,78,Yes,No,277,92.33333333,A,11
617,20,female,74,62,,Yes,No,136,45.33333333,F,5
618,18,male,59,73,64,Yes,Yes,196,65.33333333,D,7
619,20,male,64,78,84,Yes,No,226,75.33333333,C,13
620,20,male,87,92,80,No,No,259,86.33333333,B,5
621,21,female,72,82,50,Yes,No,204,68,D,13
622,18,male,48,83,73,Yes,Yes,204,68,D,12
623,20,female,84,73,42,Yes,Yes,199,66.33333333,D,5
624,20,female,60,92,69,No,Yes,221,73.66666667,C,10
625,18,female,98,,93,No,No,191,63.66666667,D,9
626,18,male,86,60,56,Yes,No,202,67.33333333,D,10
627,20,female,,92,,No,Yes,92,30.66666667,F,14
628,18,male,89,82,78,No,Yes,249,83,B,9
629,20,female,,66,48,No,No,114,38,F,10
630,20,male,83,65,60,No,No,208,69.33333333,D,9
631,21,female,77,76,,No,Yes,153,51,E,15
632,17,male,57,78,60,No,No,195,65,D,9
633,20,female,60,75,65,Yes,No,200,66.66666667,D,8
634,19,male,85,76,78,No,No,239,79.66666667,C,7
635,17,male,65,96,73,No,No,234,78,C,7
636,17,male,64,87,71,Yes,No,222,74,C,8
637,17,male,56,75,64,Yes,No,195,65,D,13
638,21,female,76,85,73,,No,234,78,C,6
639,20,female,101,,66,Yes,Yes,167,55.66666667,E,13
640,21,male,54,78,74,No,Yes,206,68.66666667,D,5
641,20,female,70,97,62,No,No,229,76.33333333,C,5
642,21,male,91,,66,No,No,157,52.33333333,E,9
643,21,male,69,60,55,No,No,184,61.33333333,D,10
644,19,female,77,63,68,Yes,Yes,208,69.33333333,D,10
645,21,male,54,57,57,No,Yes,168,56,E,7
646,18,male,76,61,54,No,No,191,63.66666667,D,11
647,19,female,67,67,71,Yes,Yes,205,68.33333333,D,13
648,21,male,85,52,71,No,No,208,69.33333333,D,15
649,17,male,88,72,78,No,No,238,79.33333333,C,14
650,18,male,109,85,62,No,No,256,85.33333333,B,12
651,18,male,79,59,73,No,No,211,70.33333333,C,10
652,18,female,75,93,75,Yes,No,243,81,B,12
653,19,female,73,79,74,Yes,No,226,75.33333333,C,9
654,21,female,65,86,57,Yes,No,208,69.33333333,D,12
655,21,male,75,63,70,Yes,Yes,208,69.33333333,D,14
656,17,male,66,84,,Yes,No,150,50,E,8
657,17,female,73,57,68,No,Yes,198,66,D,14
658,18,male,90,84,41,No,No,215,71.66666667,C,12
659,17,male,55,74,70,Yes,No,199,66.33333333,D,14
660,19,male,87,80,97,Yes,Yes,264,88,B,6
661,21,male,90,56,63,Yes,Yes,209,69.66666667,D,9
662,18,female,68,59,59,No,No,186,62,D,13
663,17,female,38,80,73,Yes,Yes,191,63.66666667,D,8
664,19,female,61,59,72,No,No,192,64,D,15
665,19,male,89,,84,No,No,173,57.66666667,E,10
666,17,female,70,53,52,No,Yes,175,58.33333333,E,5
667,21,female,55,84,78,No,Yes,217,72.33333333,C,13
668,17,male,62,55,,Yes,Yes,117,39,F,5
669,18,male,83,80,66,No,Yes,229,76.33333333,C,9
670,17,female,78,81,72,No,No,231,77,C,8
671,19,female,66,62,81,Yes,Yes,209,69.66666667,D,7
672,17,female,64,80,79,No,Yes,223,74.33333333,C,10
673,21,female,64,76,53,No,Yes,193,64.33333333,D,6
674,20,male,,64,79,,Yes,143,47.66666667,F,7
675,17,female,94,58,67,Yes,Yes,219,73,C,9
676,21,female,65,,69,No,No,134,44.66666667,F,13
677,21,male,88,77,69,,No,234,78,C,6
678,19,female,93,50,66,Yes,Yes,209,69.66666667,D,14
679,21,male,85,73,83,Yes,Yes,241,80.33333333,B,12
680,21,male,64,68,67,No,No,199,66.33333333,D,6
681,21,male,76,82,53,No,Yes,211,70.33333333,C,15
682,21,female,70,68,63,Yes,No,201,67,D,9
683,18,female,56,67,70,No,No,193,64.33333333,D,11
684,18,male,75,82,84,Yes,Yes,241,80.33333333,B,12
685,19,female,52,77,76,No,No,205,68.33333333,D,5
686,17,female,88,76,57,Yes,Yes,221,73.66666667,C,10
687,21,male,63,79,100,No,Yes,242,80.66666667,B,5
688,17,male,73,51,71,Yes,No,195,65,D,6
689,17,female,74,83,85,Yes,No,242,80.66666667,B,5
690,19,male,,81,66,Yes,Yes,147,49,F,15
691,21,female,79,58,75,Yes,No,212,70.66666667,C,9
692,21,female,63,69,,Yes,Yes,132,44,F,14
693,20,female,83,71,84,No,No,238,79.33333333,C,13
694,17,female,50,70,82,No,No,202,67.33333333,D,10
695,17,male,72,77,79,,Yes,228,76,C,15
696,18,male,99,92,64,No,Yes,255,85,B,15
697,20,male,55,87,61,No,Yes,203,67.66666667,D,5
698,18,male,60,54,,No,No,114,38,F,5
699,18,female,78,81,80,No,Yes,239,79.66666667,C,6
700,18,female,73,91,65,No,Yes,229,76.33333333,C,13
701,19,male,75,77,82,No,No,234,78,C,7
702,19,female,77,87,87,Yes,No,251,83.66666667,B,5
703,18,female,80,100,56,No,Yes,236,78.66666667,C,9
704,20,female,87,86,57,No,Yes,230,76.66666667,C,11
705,17,male,76,,66,No,Yes,142,47.33333333,F,10
706,20,male,,87,72,Yes,Yes,159,53,E,5
707,21,male,80,74,61,No,No,215,71.66666667,C,9
708,19,female,15,20,18,No,No,53,17.66666667,F,9
709,17,male,68,67,74,No,Yes,209,69.66666667,D,10
710,17,male,55,94,69,Yes,Yes,218,72.66666667,C,7
711,21,male,87,61,49,No,Yes,197,65.66666667,D,9
712,21,male,68,93,51,Yes,No,212,70.66666667,C,11
713,18,male,37,79,72,,Yes,188,62.66666667,D,9
714,19,male,83,52,40,Yes,Yes,175,58.33333333,E,9
715,19,female,62,,81,Yes,No,143,47.66666667,F,9
716,20,female,69,43,66,Yes,No,178,59.33333333,E,14
717,18,male,75,81,,No,Yes,156,52,E,14
718,18,male,73,84,98,Yes,Yes,255,85,B,7
719,18,female,81,64,66,,No,211,70.33333333,C,5
720,18,female,63,74,67,Yes,Yes,204,68,D,9
721,19,male,78,99,81,Yes,Yes,258,86,B,13
722,19,male,66,65,90,No,No,221,73.66666667,C,5
723,18,male,81,57,47,No,No,185,61.66666667,D,7
724,20,male,79,93,45,No,No,217,72.33333333,C,8
725,17,female,56,99,60,No,Yes,215,71.66666667,C,5
726,17,male,86,72,76,Yes,No,234,78,C,5
727,20,male,,86,74,No,No,160,53.33333333,E,12
728,18,male,82,91,82,Yes,Yes,255,85,B,6
729,19,male,76,62,52,No,Yes,190,63.33333333,D,12
730,17,female,98,65,,No,No,163,54.33333333,E,11
731,21,female,67,89,79,No,No,235,78.33333333,C,14
732,21,female,65,96,57,Yes,Yes,218,72.66666667,C,14
733,20,male,70,80,42,No,Yes,192,64,D,6
734,18,male,65,60,70,No,No,195,65,D,10
735,17,female,82,100,78,No,No,260,86.66666667,B,10
736,18,male,46,65,66,Yes,Yes,177,59,E,7
737,17,male,54,67,62,No,No,183,61,D,15
738,20,female,54,77,66,No,Yes,197,65.66666667,D,6
739,20,female,84,94,63,Yes,No,241,80.33333333,B,5
740,21,female,96,84,50,Yes,Yes,230,76.66666667,C,10
741,18,female,68,78,59,No,Yes,205,68.33333333,D,9
742,21,male,67,78,75,No,No,220,73.33333333,C,15
743,18,male,71,73,72,No,No,216,72,C,13
744,21,female,87,80,70,Yes,Yes,237,79,C,5
745,19,male,56,37,55,,No,148,49.33333333,F,11
746,19,female,74,68,66,Yes,No,208,69.33333333,D,9
747,19,female,85,75,40,No,No,200,66.66666667,D,9
748,19,male,78,56,70,Yes,Yes,204,68,D,6
749,17,female,73,77,87,No,No,237,79,C,15
750,19,male,85,69,49,Yes,No,203,67.66666667,D,7
751,20,male,29,97,,Yes,Yes,126,42,F,11
752,20,male,80,94,72,Yes,No,246,82,B,10
753,17,male,60,65,84,No,No,209,69.66666667,D,6
754,19,female,43,70,62,No,Yes,175,58.33333333,E,10
755,19,male,78,71,59,No,Yes,208,69.33333333,D,6
756,19,female,91,66,,No,No,157,52.33333333,E,6
757,21,female,68,75,69,Yes,No,212,70.66666667,C,6
758,18,female,84,61,95,No,Yes,240,80,B,15
759,21,female,94,56,72,Yes,Yes,222,74,C,7
760,18,male,90,81,68,No,No,239,79.66666667,C,6
761,19,male,,81,72,No,No,153,51,E,8
762,19,female,81,61,68,,No,210,70,C,13
763,21,female,71,85,57,Yes,Yes,213,71,C,10
764,21,male,46,63,79,No,No,188,62.66666667,D,5
765,18,female,66,76,71,No,Yes,213,71,C,12
766,20,male,57,83,68,Yes,Yes,208,69.33333333,D,11
767,18,female,103,72,55,Yes,Yes,230,76.66666667,C,14
768,21,male,67,78,85,,No,230,76.66666667,C,7
769,21,female,72,65,77,Yes,No,214,71.33333333,C,5
770,17,female,78,69,61,Yes,No,208,69.33333333,D,9
771,21,male,71,69,81,No,Yes,221,73.66666667,C,8
772,17,female,,,62,No,No,62,20.66666667,F,14
773,20,female,61,70,58,No,Yes,189,63,D,12
774,18,male,,50,58,No,Yes,108,36,F,5
775,18,female,,65,45,Yes,Yes,110,36.66666667,F,14
776,17,male,50,68,74,Yes,Yes,192,64,D,5
777,18,male,,68,44,Yes,Yes,112,37.33333333,F,8
778,21,female,69,69,52,No,Yes,190,63.33333333,D,12
779,19,female,64,71,41,Yes,No,176,58.66666667,E,9
780,17,female,60,79,67,Yes,Yes,206,68.66666667,D,6
781,18,female,49,84,66,No,No,199,66.33333333,D,10
782,17,female,69,,64,No,Yes,133,44.33333333,F,9
783,17,female,,55,54,,No,109,36.33333333,F,6
784,19,female,81,57,,Yes,No,138,46,F,15
785,21,male,71,65,74,,No,210,70,C,15
786,17,female,48,67,61,No,No,176,58.66666667,E,15
787,18,male,65,61,,No,Yes,126,42,F,7
788,20,female,59,54,56,Yes,Yes,169,56.33333333,E,13
789,17,female,75,66,70,No,Yes,211,70.33333333,C,11
790,17,male,90,75,85,Yes,Yes,250,83.33333333,B,11
791,19,female,42,80,76,No,No,198,66,D,15
792,21,female,72,64,63,No,No,199,66.33333333,D,10
793,20,male,,66,71,No,No,137,45.66666667,F,12
794,18,female,80,59,65,Yes,Yes,204,68,D,8
795,20,female,73,72,68,Yes,No,213,71,C,12
796,18,female,59,60,64,No,Yes,183,61,D,8
797,21,male,,80,66,Yes,No,146,48.66666667,F,12
798,18,female,58,47,71,No,No,176,58.66666667,E,13
799,19,female,86,67,55,No,No,208,69.33333333,D,7
800,19,female,70,76,55,Yes,No,201,67,D,7
801,19,female,99,75,50,Yes,No,224,74.66666667,C,15
802,19,male,69,110,47,Yes,Yes,226,75.33333333,C,6
803,20,male,59,77,52,Yes,No,188,62.66666667,D,14
804,21,female,47,58,70,No,Yes,175,58.33333333,E,7
805,18,female,43,71,56,Yes,Yes,170,56.66666667,E,7
806,18,male,46,47,75,Yes,Yes,168,56,E,9
807,19,male,74,71,68,No,Yes,213,71,C,9
808,19,female,78,60,42,No,Yes,180,60,D,6
809,17,male,110,105,77,No,Yes,292,97.33333333,A,14
810,21,female,83,64,79,No,Yes,226,75.33333333,C,10
811,20,male,63,70,55,Yes,Yes,188,62.66666667,D,9
812,18,male,72,,73,Yes,No,145,48.33333333,F,10
813,17,male,94,96,57,No,No,247,82.33333333,B,5
814,17,male,83,68,69,No,Yes,220,73.33333333,C,9
815,18,female,66,98,52,Yes,Yes,216,72,C,13
816,20,male,57,83,45,Yes,Yes,185,61.66666667,D,14
817,17,male,38,79,63,Yes,No,180,60,D,6
818,17,female,59,77,66,Yes,No,202,67.33333333,D,5
819,21,male,67,78,63,Yes,Yes,208,69.33333333,D,14
820,20,male,55,45,53,No,Yes,153,51,E,15
821,17,female,68,68,63,No,No,199,66.33333333,D,13
822,20,male,71,84,,No,No,155,51.66666667,E,14
823,18,female,67,71,67,No,Yes,205,68.33333333,D,13
824,19,female,60,52,70,Yes,Yes,182,60.66666667,D,13
825,17,female,73,71,59,No,Yes,203,67.66666667,D,10
826,21,female,77,96,83,Yes,Yes,256,85.33333333,B,12
827,18,male,54,89,53,Yes,No,196,65.33333333,D,15
828,20,female,,71,74,Yes,No,145,48.33333333,F,5
829,18,male,69,85,83,Yes,Yes,237,79,C,14
830,17,male,70,67,74,,Yes,211,70.33333333,C,8
831,20,male,81,48,65,Yes,Yes,194,64.66666667,D,5
832,19,male,73,59,61,,No,193,64.33333333,D,12
833,18,male,84,94,81,No,Yes,259,86.33333333,B,5
834,17,male,74,68,50,Yes,Yes,192,64,D,7
835,21,male,61,69,55,No,Yes,185,61.66666667,D,8
836,20,male,,68,,No,No,68,22.66666667,F,12
837,18,male,53,99,84,Yes,Yes,236,78.66666667,C,10
838,18,male,72,95,73,Yes,No,240,80,B,14
839,19,female,70,,55,No,Yes,125,41.66666667,F,11
840,19,female,67,70,64,No,Yes,201,67,D,12
841,21,female,68,76,60,No,Yes,204,68,D,6
842,21,male,42,51,59,No,No,152,50.66666667,E,14
843,17,female,62,93,81,Yes,Yes,236,78.66666667,C,15
844,17,female,71,56,50,Yes,Yes,177,59,E,12
845,21,female,72,75,89,Yes,No,236,78.66666667,C,7
846,21,male,55,57,79,No,No,191,63.66666667,D,11
847,20,male,89,64,82,Yes,No,235,78.33333333,C,7
848,19,male,110,105,62,No,Yes,277,92.33333333,A,11
849,17,male,85,63,66,Yes,No,214,71.33333333,C,15
850,19,female,76,64,49,No,Yes,189,63,D,6
851,19,female,110,105,61,,No,276,92,A,14
852,21,female,97,84,74,Yes,No,255,85,B,10
853,20,female,52,57,85,No,No,194,64.66666667,D,7
854,18,male,84,75,54,No,Yes,213,71,C,7
855,20,male,85,89,63,No,Yes,237,79,C,13
856,20,male,60,65,66,No,Yes,191,63.66666667,D,11
857,19,female,91,62,,No,Yes,153,51,E,9
858,20,male,66,69,76,Yes,Yes,211,70.33333333,C,14
859,17,male,74,89,59,No,Yes,222,74,C,11
860,19,female,74,75,65,Yes,Yes,214,71.33333333,C,13
861,17,female,68,65,62,Yes,Yes,195,65,D,5
862,18,male,82,79,58,Yes,Yes,219,73,C,11
863,19,male,82,57,,Yes,No,139,46.33333333,F,10
864,18,male,,82,65,Yes,No,147,49,F,14
865,19,male,90,78,63,No,Yes,231,77,C,13
866,21,male,45,68,59,No,Yes,172,57.33333333,E,5
867,20,male,,60,72,Yes,Yes,132,44,F,8
868,21,female,87,60,89,Yes,Yes,236,78.66666667,C,13
869,18,female,54,79,70,No,No,203,67.66666667,D,8
870,20,female,64,89,81,No,No,234,78,C,14
871,19,male,53,63,50,Yes,Yes,166,55.33333333,E,7
872,20,female,67,78,70,No,No,215,71.66666667,C,13
873,17,male,65,43,54,No,No,162,54,E,6
874,20,male,82,64,49,No,Yes,195,65,D,8
875,17,female,90,72,58,,Yes,220,73.33333333,C,10
876,20,male,91,59,83,No,Yes,233,77.66666667,C,6
877,17,male,62,59,80,Yes,Yes,201,67,D,12
878,18,female,67,63,71,Yes,No,201,67,D,12
879,21,female,45,76,48,Yes,Yes,169,56.33333333,E,5
880,19,female,58,69,65,Yes,No,192,64,D,7
881,20,male,84,41,72,Yes,Yes,197,65.66666667,D,14
882,21,female,94,,70,No,No,164,54.66666667,E,13
883,19,female,51,64,44,Yes,Yes,159,53,E,9
884,19,male,61,78,56,Yes,Yes,195,65,D,10
885,17,female,70,34,67,Yes,No,171,57,E,8
886,18,female,74,65,75,No,No,214,71.33333333,C,14
887,18,female,58,65,39,No,No,162,54,E,6
888,21,male,76,91,66,No,Yes,233,77.66666667,C,15
889,18,male,63,67,70,No,No,200,66.66666667,D,12
890,20,male,70,77,79,No,No,226,75.33333333,C,15
891,18,male,78,74,77,No,No,229,76.33333333,C,10
892,21,female,70,42,76,No,No,188,62.66666667,D,9
893,18,male,63,83,58,Yes,No,204,68,D,13
894,20,male,68,75,43,Yes,No,186,62,D,5
895,17,female,69,79,63,No,No,211,70.33333333,C,9
896,21,female,64,127,81,Yes,No,272,90.66666667,A,10
897,17,female,66,43,86,Yes,No,195,65,D,9
898,17,male,94,96,77,No,Yes,267,89,B,10
899,17,male,78,68,74,Yes,Yes,220,73.33333333,C,10
900,19,male,66,76,73,Yes,No,215,71.66666667,C,11
901,19,female,80,71,61,No,Yes,212,70.66666667,C,8
902,17,female,65,66,66,Yes,Yes,197,65.66666667,D,15
903,21,male,88,64,90,No,No,242,80.66666667,B,12
904,20,female,76,77,56,No,No,209,69.66666667,D,11
905,20,female,68,51,89,Yes,No,208,69.33333333,D,13
906,18,female,77,83,64,Yes,No,224,74.66666667,C,11
907,21,male,46,66,85,Yes,No,197,65.66666667,D,7
908,19,female,53,56,50,No,No,159,53,E,7
909,17,female,52,66,76,No,Yes,194,64.66666667,D,12
910,18,male,72,,,No,No,72,24,F,9
911,20,male,96,65,50,Yes,Yes,211,70.33333333,C,8
912,19,female,103,77,71,Yes,No,251,83.66666667,B,12
913,19,female,80,62,81,No,No,223,74.33333333,C,10
914,17,male,78,83,57,Yes,Yes,218,72.66666667,C,6
915,20,male,43,82,49,Yes,No,174,58,E,8
916,21,female,62,98,67,No,No,227,75.66666667,C,15
917,19,female,,70,67,No,Yes,137,45.66666667,F,8
918,17,female,61,81,75,Yes,No,217,72.33333333,C,10
919,21,female,110,105,80,No,Yes,295,98.33333333,A,10
920,20,male,63,90,67,Yes,No,220,73.33333333,C,5
921,19,female,40,62,92,No,No,194,64.66666667,D,12
922,21,female,81,82,71,No,Yes,234,78,C,10
923,21,male,54,69,63,No,No,186,62,D,7
924,21,female,74,71,47,,Yes,192,64,D,13
925,19,male,101,73,65,Yes,Yes,239,79.66666667,C,6
926,19,female,56,76,64,No,Yes,196,65.33333333,D,15
927,18,female,32,,80,,No,112,37.33333333,F,12
928,20,male,66,75,74,No,No,215,71.66666667,C,14
929,17,male,87,94,53,Yes,Yes,234,78,C,7
930,21,female,15,20,18,No,No,53,17.66666667,F,9
931,18,female,52,84,77,No,No,213,71,C,10
932,17,female,77,66,88,No,No,231,77,C,14
933,18,male,63,60,80,No,Yes,203,67.66666667,D,10
934,19,female,15,20,18,Yes,No,53,17.66666667,F,8
935,21,male,110,84,69,Yes,Yes,263,87.66666667,B,7
936,17,male,47,93,73,No,No,213,71,C,8
937,17,female,74,64,84,Yes,No,222,74,C,5
938,17,male,77,69,51,Yes,Yes,197,65.66666667,D,8
939,17,female,86,49,63,Yes,No,198,66,D,5
940,17,female,71,67,58,No,Yes,196,65.33333333,D,5
941,18,female,75,86,73,Yes,No,234,78,C,14
942,21,female,64,65,,Yes,Yes,129,43,F,10
943,19,female,74,81,60,Yes,No,215,71.66666667,C,9
944,19,male,65,69,37,No,No,171,57,E,15
945,19,male,79,77,63,No,No,219,73,C,8
946,19,female,64,56,80,Yes,Yes,200,66.66666667,D,15
947,18,female,76,73,75,Yes,Yes,224,74.66666667,C,7
948,20,male,70,30,74,No,Yes,174,58,E,5
949,21,male,87,69,64,No,No,220,73.33333333,C,10
950,17,male,69,49,51,Yes,Yes,169,56.33333333,E,6
951,20,male,43,89,75,Yes,Yes,207,69,D,12
952,19,female,89,83,57,No,Yes,229,76.33333333,C,14
953,20,female,56,79,96,No,Yes,231,77,C,9
954,21,male,60,93,75,Yes,Yes,228,76,C,11
955,17,female,61,59,60,No,Yes,180,60,D,14
956,17,male,91,96,60,Yes,Yes,247,82.33333333,B,6
957,21,female,38,85,67,Yes,Yes,190,63.33333333,D,12
958,21,male,,69,65,Yes,Yes,134,44.66666667,F,6
959,19,female,86,88,,No,Yes,174,58,E,8
960,17,male,73,57,70,Yes,No,200,66.66666667,D,5
961,20,male,69,60,58,Yes,No,187,62.33333333,D,9
962,18,female,74,63,93,No,Yes,230,76.66666667,C,13
963,18,male,78,65,69,No,No,212,70.66666667,C,5
964,21,female,80,57,,Yes,No,137,45.66666667,F,13
965,19,female,78,89,60,Yes,Yes,227,75.66666667,C,15
966,18,male,71,,73,No,Yes,144,48,F,12
967,17,female,110,105,72,No,Yes,287,95.66666667,A,10
968,21,female,68,64,43,No,No,175,58.33333333,E,11
969,20,female,67,47,94,Yes,Yes,208,69.33333333,D,7
970,21,female,87,76,85,Yes,No,248,82.66666667,B,5
971,20,female,79,45,63,Yes,Yes,187,62.33333333,D,9
972,21,male,110,105,54,No,No,269,89.66666667,B,6
973,21,female,80,53,73,Yes,No,206,68.66666667,D,9
974,21,female,73,,69,,Yes,142,47.33333333,F,12
975,20,female,70,85,73,Yes,Yes,228,76,C,15
976,20,female,64,73,70,No,No,207,69,D,13
977,21,female,15,20,18,Yes,No,53,17.66666667,F,6
978,18,male,84,60,87,Yes,Yes,231,77,C,7
979,19,female,58,80,75,No,Yes,213,71,C,7
980,19,male,76,75,54,,No,205,68.33333333,D,5
981,19,male,55,76,86,Yes,Yes,217,72.33333333,C,12
982,20,male,49,90,89,No,No,228,76,C,10
